	1		1		gapdb
	1		2		gapdb
	1		1.21239		gapdb
	0.468235		0.691919		gapdb
	0.468235		0.691919		gapdb
	0.575569		0.907285		gapdb
	1		1.06202		gapdb
	1		1.06202		gapdb
	0.337904		0.611607		gapdb
	1		1		gapdb
	1		2		gapdb
	1		1.21239		gapdb
	0.468235		0.691919		gapdb
	0.468235		0.691919		gapdb
	0.575569		0.907285		gapdb
	1		1.06202		gapdb
	1		1.06202		gapdb
	0.337904		0.611607		gapdb
	1		0.29927		gapdb
	1		0.29927		gapdb
	1		0.362832		gapdb
	0.468235		0.207071		gapdb
	0.468235		0.207071		gapdb
	0.575569		0.271523		gapdb
	1		0.317829		gapdb
	1		0.317829		gapdb
	0.337904		0.183036		gapdb
	1		0.824818		gapdb
	1		0.824818		gapdb
	1		2		gapdb
	0.468235		0.570707		gapdb
	0.468235		0.570707		gapdb
	0.575569		0.748344		gapdb
	1		0.875969		gapdb
	1		0.875969		gapdb
	0.337904		0.504464		gapdb
	2		1.44526		gapdb
	2		1.44526		gapdb
	2		2		gapdb
	2		1.75221		gapdb
	1		1		gapdb
	1.22923		1.31126		gapdb
	2		1.53488		gapdb
	2		1.53488		gapdb
	0.721655		0.883929		gapdb
	2		1.44526		gapdb
	2		1.44526		gapdb
	2		2		gapdb
	2		1.75221		gapdb
	1		1		gapdb
	1.22923		1.31126		gapdb
	2		1.53488		gapdb
	2		1.53488		gapdb
	0.721655		0.883929		gapdb
	1.73741		1.10219		gapdb
	1.73741		1.10219		gapdb
	1.73741		2		gapdb
	1.73741		1.33628		gapdb
	0.813517		0.762626		gapdb
	0.813517		0.762626		gapdb
	1.73741		1.17054		gapdb
	1.73741		1.17054		gapdb
	0.587079		0.674107		gapdb
	1		0.941606		gapdb
	1		0.941606		gapdb
	1		2		gapdb
	1		1.14159		gapdb
	0.468235		0.651515		gapdb
	0.468235		0.651515		gapdb
	0.575569		0.854305		gapdb
	1		1		gapdb
	0.337904		0.575893		gapdb
	1		0.941606		gapdb
	1		0.941606		gapdb
	1		2		gapdb
	1		1.14159		gapdb
	0.468235		0.651515		gapdb
	0.468235		0.651515		gapdb
	0.575569		0.854305		gapdb
	1		1		gapdb
	0.337904		0.575893		gapdb
	2		1.63504		gapdb
	2		1.63504		gapdb
	2		2		gapdb
	2		1.9823		gapdb
	1.3857		1.13131		gapdb
	1.3857		1.13131		gapdb
	1.70335		1.48344		gapdb
	2		1.73643		gapdb
	2		1.73643		gapdb
	1		2		ipdb
	1		0.29927		ipdb
	1		0.29927		ipdb
	0.575569		0.216931		ipdb
	1		1		ipdb
	1		0.362832		ipdb
	0.468235		0.207071		ipdb
	0.468235		0.207071		ipdb
	0.575569		0.271523		ipdb
	1		0.317829		ipdb
	1		0.317829		ipdb
	0.337904		0.183036		ipdb
	1		2		ipdb
	1.73741		2		ipdb
	1		1		ipdb
	1		2		ipdb
	2		2		ipdb
	2		2		ipdb
	1.73741		2		ipdb
	1		2		ipdb
	1		2		ipdb
	2		2		ipdb
	0.575569		0.724868		lmcut
	0.575569		0.724868		lmcut
	1.73741		1.37956		lmcut
	1.73741		1.37956		lmcut
	1.73741		2		lmcut
	1.73741		1.67257		lmcut
	0.813517		0.954545		lmcut
	0.813517		0.954545		lmcut
	1		1.25166		lmcut
	1.73741		1.46512		lmcut
	1.73741		1.46512		lmcut
	0.587079		0.84375		lmcut
	0.575569		0.216931		lmcut
	0.575569		0.597884		lmcut
	1.22923		1.04762		lmcut
	1.22923		1.04762		lmcut
	1		0.798942		lmcut
	0.575569		0.68254		lmcut
	0.575569		0.68254		lmcut
	1.70335		1.18519		lmcut
	1.72502		1.04147		gapdb
	1.19749		1		gapdb
	1.0476		1		gapdb
	1		1		gapdb
	1.19749		1		gapdb
